what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1535032422376
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1535032422377
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1535032422377
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1535032422378
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1535032422378
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1535032422391
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1535032422391
os,sysinfo,,,"linux",1535032422394
arch,sysinfo,,,"x86",1535032422394
ws,sysinfo,,,"gtk",1535032422394
locale,sysinfo,,,"zh_CN",1535032422394
processors,sysinfo,,,"4",1535032422394
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1535032422394
java.runtime.version,sysinfo,,,"1.6.0_41-b41",1535032422394
java.specification.name,sysinfo,,,"Java Platform API Specification",1535032422394
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1535032422394
java.specification.version,sysinfo,,,"1.6",1535032422394
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1535032422394
java.version,sysinfo,,,"1.6.0_41",1535032422394
java.vm.info,sysinfo,,,"mixed mode, sharing",1535032422394
java.vm.name,sysinfo,,,"OpenJDK Client VM",1535032422394
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1535032422394
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1535032422394
java.vm.specification.version,sysinfo,,,"1.0",1535032422394
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1535032422394
java.vm.version,sysinfo,,,"23.41-b41",1535032422394
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1535032425718
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1535032425735
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1535032425750
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1535032432661
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1535032433589
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1535032434198
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1535032434205
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1535032434286
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1535032434297
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1535032434315
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1535032434407
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1535032434426
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1535032434552
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1535032434629
